timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1576355547044,647,Add User,200,OK,Thread Group 1-285,text,true,,224,211,500,500,http://www.localhost:4200/user,646,0,645
1576355547242,450,Add User,200,OK,Thread Group 1-206,text,true,,224,211,500,500,http://www.localhost:4200/user,449,0,448
1576355547240,452,Add User,200,OK,Thread Group 1-38,text,true,,224,211,500,500,http://www.localhost:4200/user,452,0,450
1576355547243,450,Add User,200,OK,Thread Group 1-139,text,true,,224,211,500,500,http://www.localhost:4200/user,450,0,448
1576355547243,451,Add User,200,OK,Thread Group 1-393,text,true,,224,211,500,500,http://www.localhost:4200/user,451,0,449
1576355547081,614,Add User,200,OK,Thread Group 1-20,text,true,,224,211,500,500,http://www.localhost:4200/user,614,0,611
1576355547244,453,Add User,200,OK,Thread Group 1-124,text,true,,224,211,500,500,http://www.localhost:4200/user,453,0,450
1576355547245,454,Add User,200,OK,Thread Group 1-361,text,true,,224,211,500,500,http://www.localhost:4200/user,454,0,451
1576355547044,655,Add User,200,OK,Thread Group 1-336,text,true,,224,211,500,500,http://www.localhost:4200/user,655,0,652
1576355547247,452,Add User,200,OK,Thread Group 1-25,text,true,,224,211,500,500,http://www.localhost:4200/user,452,0,449
1576355547247,458,Add User,200,OK,Thread Group 1-389,text,true,,224,211,500,500,http://www.localhost:4200/user,458,0,453
1576355547081,625,Add User,200,OK,Thread Group 1-110,text,true,,224,211,500,500,http://www.localhost:4200/user,625,0,620
1576355547248,459,Add User,200,OK,Thread Group 1-47,text,true,,224,211,500,500,http://www.localhost:4200/user,459,0,454
1576355547249,458,Add User,200,OK,Thread Group 1-403,text,true,,224,211,500,500,http://www.localhost:4200/user,458,0,454
1576355547250,457,Add User,200,OK,Thread Group 1-197,text,true,,224,211,500,500,http://www.localhost:4200/user,457,0,454
1576355547081,627,Add User,200,OK,Thread Group 1-137,text,true,,224,211,500,500,http://www.localhost:4200/user,627,0,623
1576355547250,460,Add User,200,OK,Thread Group 1-408,text,true,,224,211,500,500,http://www.localhost:4200/user,460,0,459
1576355547044,667,Add User,200,OK,Thread Group 1-342,text,true,,224,211,500,500,http://www.localhost:4200/user,667,0,666
1576355547252,461,Add User,200,OK,Thread Group 1-74,text,true,,224,211,500,500,http://www.localhost:4200/user,461,0,460
1576355547082,631,Add User,200,OK,Thread Group 1-89,text,true,,224,211,500,500,http://www.localhost:4200/user,631,0,630
1576355547253,461,Add User,200,OK,Thread Group 1-369,text,true,,224,211,500,500,http://www.localhost:4200/user,461,0,460
1576355547254,461,Add User,200,OK,Thread Group 1-169,text,true,,224,211,500,500,http://www.localhost:4200/user,461,0,459
1576355547044,671,Add User,200,OK,Thread Group 1-407,text,true,,224,211,500,500,http://www.localhost:4200/user,671,0,670
1576355547255,461,Add User,200,OK,Thread Group 1-377,text,true,,224,211,500,500,http://www.localhost:4200/user,461,0,459
1576355547256,460,Add User,200,OK,Thread Group 1-218,text,true,,224,211,500,500,http://www.localhost:4200/user,460,0,458
1576355547082,635,Add User,200,OK,Thread Group 1-7,text,true,,224,211,500,500,http://www.localhost:4200/user,635,0,634
1576355547257,461,Add User,200,OK,Thread Group 1-379,text,true,,224,211,500,500,http://www.localhost:4200/user,461,0,459
1576355547258,461,Add User,200,OK,Thread Group 1-17,text,true,,224,211,500,500,http://www.localhost:4200/user,460,0,459
1576355547259,460,Add User,200,OK,Thread Group 1-368,text,true,,224,211,500,500,http://www.localhost:4200/user,460,0,458
1576355547045,675,Add User,200,OK,Thread Group 1-348,text,true,,224,211,500,500,http://www.localhost:4200/user,675,0,673
1576355547260,460,Add User,200,OK,Thread Group 1-62,text,true,,224,211,500,500,http://www.localhost:4200/user,460,0,460
1576355547082,640,Add User,200,OK,Thread Group 1-109,text,true,,224,211,500,500,http://www.localhost:4200/user,640,0,639
1576355547261,461,Add User,200,OK,Thread Group 1-135,text,true,,224,211,500,500,http://www.localhost:4200/user,461,0,460
1576355547262,461,Add User,200,OK,Thread Group 1-373,text,true,,224,211,500,500,http://www.localhost:4200/user,461,0,460
1576355547045,679,Add User,200,OK,Thread Group 1-284,text,true,,224,211,500,500,http://www.localhost:4200/user,679,0,678
1576355547263,462,Add User,200,OK,Thread Group 1-376,text,true,,224,211,500,500,http://www.localhost:4200/user,462,0,461
1576355547264,462,Add User,200,OK,Thread Group 1-208,text,true,,224,211,500,500,http://www.localhost:4200/user,462,0,462
1576355547264,463,Add User,200,OK,Thread Group 1-378,text,true,,224,211,500,500,http://www.localhost:4200/user,463,0,462
1576355547082,646,Add User,200,OK,Thread Group 1-31,text,true,,224,211,500,500,http://www.localhost:4200/user,646,0,645
1576355547265,464,Add User,200,OK,Thread Group 1-391,text,true,,224,211,500,500,http://www.localhost:4200/user,464,0,463
1576355547083,647,Add User,200,OK,Thread Group 1-155,text,true,,224,211,500,500,http://www.localhost:4200/user,647,0,645
1576355547267,464,Add User,200,OK,Thread Group 1-395,text,true,,224,211,500,500,http://www.localhost:4200/user,464,0,462
1576355547267,465,Add User,200,OK,Thread Group 1-134,text,true,,224,211,500,500,http://www.localhost:4200/user,464,0,462
1576355547266,466,Add User,200,OK,Thread Group 1-198,text,true,,224,211,500,500,http://www.localhost:4200/user,466,0,463
1576355547268,465,Add User,200,OK,Thread Group 1-387,text,true,,224,211,500,500,http://www.localhost:4200/user,465,0,462
1576355547045,688,Add User,200,OK,Thread Group 1-347,text,true,,224,211,500,500,http://www.localhost:4200/user,688,0,685
1576355547269,465,Add User,200,OK,Thread Group 1-129,text,true,,224,211,500,500,http://www.localhost:4200/user,465,0,461
1576355547045,695,Add User,200,OK,Thread Group 1-434,text,true,,224,211,500,500,http://www.localhost:4200/user,695,0,686
1576355547270,470,Add User,200,OK,Thread Group 1-168,text,true,,224,211,500,500,http://www.localhost:4200/user,470,0,462
1576355547270,472,Add User,200,OK,Thread Group 1-380,text,true,,224,211,500,500,http://www.localhost:4200/user,472,0,463
1576355547084,658,Add User,200,OK,Thread Group 1-105,text,true,,224,211,500,500,http://www.localhost:4200/user,658,0,649
1576355547272,474,Add User,200,OK,Thread Group 1-385,text,true,,224,211,500,500,http://www.localhost:4200/user,474,0,462
1576355547271,476,Add User,200,OK,Thread Group 1-123,text,true,,224,211,500,500,http://www.localhost:4200/user,476,0,463
